salary,experience,credit_score,approved
118176,17,403,1
65870,7,420,1
105426,1,381,0
52411,6,370,0
101439,4,594,0
36544,15,467,0
93920,6,826,1
111680,8,727,1
41992,19,467,0
41465,9,460,0
95849,0,669,0
95470,12,756,1
113718,6,427,1
97607,20,598,1
33356,9,473,0
94177,1,705,1
89827,13,729,1
29038,16,699,0
21658,13,851,1
33833,13,720,1
103307,14,506,1
77080,5,884,1
105256,8,845,1
80931,13,624,1
62245,7,438,1
56559,14,599,0
118366,14,738,1
64092,0,856,1
62600,5,849,1
47802,11,614,0
64608,8,632,1
92848,0,879,1
45042,2,597,0
114381,13,850,1
92768,7,837,1
104659,15,808,1
22260,2,651,0
49045,12,599,0
60135,18,727,1
82031,17,893,1
65056,13,688,1
66112,14,627,1
60189,8,586,1
35814,6,673,0
35670,17,539,0
45105,6,845,1
56241,18,887,1
98222,9,452,1
45443,9,582,0
67301,5,659,1
21854,17,479,0
55954,1,405,0
92529,9,479,1
103606,15,455,1
21607,18,641,0
81524,15,801,1
64657,5,402,1
53092,15,466,0
28564,12,853,1
29710,18,404,0
39887,4,661,0
31164,7,471,0
93147,13,581,1
88494,12,811,1
78028,9,789,1
60026,18,411,1
99905,3,562,0
101987,6,620,1
106563,2,510,0
51439,5,426,0
40517,0,768,0
79048,19,831,1
58175,1,587,0
57762,9,814,1
29329,7,620,0
101927,18,552,1
75723,3,580,0
104886,4,622,0
38643,2,411,0
41747,9,645,0
77560,3,829,1
110266,9,762,1
55683,16,855,1
77377,2,390,0
76626,10,606,1
23390,2,584,0
108381,18,371,1
108117,8,391,1
119125,5,831,1
88021,20,802,1
56458,5,796,1
103202,15,443,1
81605,11,768,1
63687,10,457,1
41079,10,771,1
110921,15,645,1
106846,12,387,1
79614,2,672,0
53082,10,468,0
72976,16,351,1
106200,17,823,1
74165,1,542,0
87952,11,860,1
101973,14,402,1
46680,8,484,0
57752,14,846,1
35915,0,595,0
113032,5,668,1
92199,0,767,1
32217,7,466,0
80482,3,507,0
85323,9,871,1
112459,8,775,1
83242,15,599,1
79871,17,498,1
70277,6,870,1
117818,4,421,0
56208,13,698,0
86550,8,352,1
57072,9,851,1
39476,14,845,1
65236,10,736,1
79682,10,543,1
111422,7,742,1
50613,13,394,0
61704,15,740,1
70604,20,505,1
84923,1,479,0
85836,18,689,1
33154,14,452,0
88937,14,365,1
114692,4,769,1
105823,4,426,0
81537,8,696,1
101691,12,432,1
63065,17,739,1
61505,20,849,1
90912,1,420,0
50771,20,644,0
49817,2,794,0
32903,20,452,0
78153,5,656,1
23794,1,682,0
27355,9,717,1
69131,13,499,1
52007,16,771,1
94177,5,524,1
42946,2,741,0
101226,7,859,1
96435,4,587,0
80443,20,610,1
80236,8,359,1
80981,9,511,1
29681,14,703,1
97014,9,784,1
110480,8,817,1
59599,6,743,1
83335,3,592,0
69986,18,717,1
95341,9,652,1
22875,12,631,0
21061,18,400,0
99482,15,643,1
50162,19,710,1
48705,20,544,0
101381,8,490,1
102345,3,390,0
60492,14,384,1
95965,11,484,1
31813,9,684,0
117973,13,529,1
46318,4,724,0
89579,16,629,1
41567,8,843,1
58684,10,467,0
81385,2,494,0
118848,7,756,1
93048,11,442,1
71717,0,620,0
90329,3,815,1
68311,8,740,1
103695,11,460,1
108452,7,832,1
23280,19,685,0
99964,7,414,1
103283,14,659,1
105097,13,469,1
38320,1,388,0
59893,15,468,0
32739,7,900,1
37781,12,814,1
68629,17,779,1
96983,4,774,1
105841,3,851,1
100694,13,636,1
24288,11,572,0
78115,14,591,1
67537,3,726,1
91364,20,717,1
27936,12,632,0
44878,3,815,0
32015,6,371,0
26629,10,599,0
36505,18,560,0
28992,17,562,0
96858,6,588,1
63064,4,352,0
56342,4,483,0
90807,8,528,1
34408,0,484,0
21947,11,593,0
97182,10,366,1
42838,8,403,0
36614,13,888,1
34896,2,837,0
78756,11,875,1
97812,3,812,1
86039,7,394,1
115321,16,658,1
80036,20,381,1
27972,15,761,1
75872,3,852,1
113375,14,425,1
30589,10,501,0
28609,4,631,0
101830,20,682,1
69925,19,893,1
58652,14,867,1
99354,13,451,1
111983,3,570,0
76370,14,583,1
74239,10,814,1
72262,13,447,1
60966,13,670,1
107177,8,733,1
40006,15,418,0
31957,2,445,0
76606,3,731,1
37054,17,411,0
96869,17,687,1
107819,3,770,1
66346,13,402,1
57700,19,669,0
66090,3,869,1
47884,4,843,0
49392,3,708,0
92910,11,467,1
119956,8,581,1
76244,17,376,1
99822,8,379,1
43647,8,666,0
64541,11,356,1
43777,4,760,0
29120,4,381,0
32026,16,570,0
69308,13,814,1
64681,5,728,1
60846,10,436,1
26895,4,511,0
118885,19,400,1
108338,2,628,0
78079,13,847,1
99570,14,774,1
55804,6,874,1
34918,11,790,1
34534,9,848,1
89066,9,396,1
48903,12,406,0
21007,6,658,0
47686,4,611,0
57938,10,472,0
21013,15,790,1
43028,4,739,0
89806,7,862,1
93233,11,423,1
72044,1,796,1
22456,14,429,0
61033,18,789,1
95156,12,777,1
57947,3,764,0
22733,10,525,0
101018,14,720,1
